Prameters,anti.degen,basis.crash,bb.depthlimit,bb.floorfirst,bb.rule,break.at.first,break.at.value,epsb,epsd,improve,infinite,maxpivot,mip.gap,negrange,obj.in.basis,pivoting,presolve,scalelimit,scaling,simplextype,timeout,verbose
Description,,,,,,,,,,,,,,,,,,,,,,
Default,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",0,neutral
1,none,none,1,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",5,neutral
2,none,none,2,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",5,neutral
3,none,none,3,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",5,neutral
4,none,none,4,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",5,neutral
5,none,none,1,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",10,neutral
6,none,none,2,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",10,neutral
7,none,none,3,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",10,neutral
8,none,none,4,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",10,neutral
9,none,none,1,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",15,neutral
10,none,none,2,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",15,neutral
11,none,none,3,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",15,neutral
12,none,none,4,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",15,neutral
13,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",rows,5,"geometric,equilibrate,integers","dual,primal",5,neutral
14,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",cols,5,"geometric,equilibrate,integers","dual,primal",5,neutral
15,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",lindep,5,"geometric,equilibrate,integers","dual,primal",5,neutral
16,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",sos,5,"geometric,equilibrate,integers","dual,primal",5,neutral
17,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",reducemip,5,"geometric,equilibrate,integers","dual,primal",5,neutral
18,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",knapsack,5,"geometric,equilibrate,integers","dual,primal",5,neutral
19,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",elimeq2,5,"geometric,equilibrate,integers","dual,primal",5,neutral
20,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",impliedfree,5,"geometric,equilibrate,integers","dual,primal",5,neutral
21,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",reducedgcd,5,"geometric,equilibrate,integers","dual,primal",5,neutral
22,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",probefix,5,"geometric,equilibrate,integers","dual,primal",5,neutral
23,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",probereduce,5,"geometric,equilibrate,integers","dual,primal",5,neutral
24,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",rowdominate,5,"geometric,equilibrate,integers","dual,primal",5,neutral
25,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",coldominate,5,"geometric,equilibrate,integers","dual,primal",5,neutral
26,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",mergerows,5,"geometric,equilibrate,integers","dual,primal",5,neutral
27,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",impliedslk,5,"geometric,equilibrate,integers","dual,primal",5,neutral
28,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",colfixdual,5,"geometric,equilibrate,integers","dual,primal",5,neutral
29,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",bounds,5,"geometric,equilibrate,integers","dual,primal",5,neutral
30,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",duals,5,"geometric,equilibrate,integers","dual,primal",5,neutral
31,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",sensduals,5,"geometric,equilibrate,integers","dual,primal",5,neutral
32,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",rows,5,"geometric,equilibrate,integers","dual,primal",10,neutral
33,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",cols,5,"geometric,equilibrate,integers","dual,primal",10,neutral
34,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",lindep,5,"geometric,equilibrate,integers","dual,primal",10,neutral
35,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",sos,5,"geometric,equilibrate,integers","dual,primal",10,neutral
36,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",reducemip,5,"geometric,equilibrate,integers","dual,primal",10,neutral
37,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",knapsack,5,"geometric,equilibrate,integers","dual,primal",10,neutral
38,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",elimeq2,5,"geometric,equilibrate,integers","dual,primal",10,neutral
39,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",impliedfree,5,"geometric,equilibrate,integers","dual,primal",10,neutral
40,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",reducedgcd,5,"geometric,equilibrate,integers","dual,primal",10,neutral
41,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",probefix,5,"geometric,equilibrate,integers","dual,primal",10,neutral
42,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",probereduce,5,"geometric,equilibrate,integers","dual,primal",10,neutral
43,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",rowdominate,5,"geometric,equilibrate,integers","dual,primal",10,neutral
44,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",coldominate,5,"geometric,equilibrate,integers","dual,primal",10,neutral
45,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",mergerows,5,"geometric,equilibrate,integers","dual,primal",10,neutral
46,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",impliedslk,5,"geometric,equilibrate,integers","dual,primal",10,neutral
47,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",colfixdual,5,"geometric,equilibrate,integers","dual,primal",10,neutral
48,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",bounds,5,"geometric,equilibrate,integers","dual,primal",10,neutral
49,none,none,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250.00,1.00E-11,1.00E-06,TRUE,"devex,adaptive",duals,5,"geometric,equilibrate,integers","dual,primal",10,neutral
